Sint Maarten - Capital: Philipsburg - Population: 37429 - Area (km2): 21.0
Slovakia - Capital: Bratislava - Population: 5455000 - Area (km2): 48845.0
Slovenia - Capital: Ljubljana - Population: 2007000 - Area (km2): 20273.0
Solomon Islands - Capital: Honiara - Population: 559198 - Area (km2): 28450.0
Somalia - Capital: Mogadishu - Population: 10112453 - Area (km2): 637657.0
South Africa - Capital: Pretoria - Population: 49000000 - Area (km2): 1219912.0
South Georgia and the South Sandwich Islands - Capital: Grytviken - Population: 30 - Area (km2): 3903.0
South Korea - Capital: Seoul - Population: 48422644 - Area (km2): 98480.0
South Sudan - Capital: Juba - Population: 8260490 - Area (km2): 644329.0
Spain - Capital: Madrid - Population: 46505963 - Area (km2): 504782.0
Sri Lanka - Capital: Colombo - Population: 21513990 - Area (km2): 65610.0
Sudan - Capital: Khartoum - Population: 35000000 - Area (km2): 1861484.0
Suriname - Capital: Paramaribo - Population: 492829 - Area (km2): 163270.0
Svalbard and Jan Mayen - Capital: Longyearbyen - Population: 2550 - Area (km2): 62049.0
Swaziland - Capital: Mbabane - Population: 1354051 - Area (km2): 17363.0
Sweden - Capital: Stockholm - Population: 9828655 - Area (km2): 449964.0
Switzerland - Capital: Bern - Population: 7581000 - Area (km2): 41290.0
Syria - Capital: Damascus - Population: 22198110 - Area (km2): 185180.0
São Tomé and Príncipe - Capital: São Tomé - Population: 175808 - Area (km2): 1001.0
Taiwan - Capital: Taipei - Population: 22894384 - Area (km2): 35980.0
Tajikistan - Capital: Dushanbe - Population: 7487489 - Area (km2): 143100.0
Tanzania - Capital: Dodoma - Population: 41892895 - Area (km2): 945087.0
Thailand - Capital: Bangkok - Population: 67089500 - Area (km2): 514000.0
Togo - Capital: Lomé - Population: 6587239 - Area (km2): 56785.0
Tokelau - Capital: None - Population: 1466 - Area (km2): 10.0
Tonga - Capital: Nuku'alofa - Population: 122580 - Area (km2): 748.0
Trinidad and Tobago - Capital: Port of Spain - Population: 1228691 - Area (km2): 5128.0
Tunisia - Capital: Tunis - Population: 10589025 - Area (km2): 163610.0
Turkey - Capital: Ankara - Population: 77804122 - Area (km2): 780580.0
Turkmenistan - Capital: Ashgabat - Population: 4940916 - Area (km2): 488100.0
Turks and Caicos Islands - Capital: Cockburn Town - Population: 20556 - Area (km2): 430.0
Tuvalu - Capital: Funafuti - Population: 10472 - Area (km2): 26.0
U.S. Minor Outlying Islands - Capital: None - Population: 0 - Area (km2): 0.0
U.S. Virgin Islands - Capital: Charlotte Amalie - Population: 108708 - Area (km2): 352.0
Uganda - Capital: Kampala - Population: 33398682 - Area (km2): 236040.0
Ukraine - Capital: Kiev - Population: 45415596 - Area (km2): 603700.0
United Arab Emirates - Capital: Abu Dhabi - Population: 4975593 - Area (km2): 82880.0
United Kingdom - Capital: London - Population: 62348447 - Area (km2): 244820.0
United States - Capital: Washington - Population: 310232863 - Area (km2): 9629091.0
Uruguay - Capital: Montevideo - Population: 3477000 - Area (km2): 176220.0
Uzbekistan - Capital: Tashkent - Population: 27865738 - Area (km2): 447400.0
Vanuatu - Capital: Port Vila - Population: 221552 - Area (km2): 12200.0
Vatican City - Capital: Vatican City - Population: 921 - Area (km2): 0.44
Venezuela - Capital: Caracas - Population: 27223228 - Area (km2): 912050.0
Vietnam - Capital: Hanoi - Population: 89571130 - Area (km2): 329560.0
Wallis and Futuna - Capital: Mata-Utu - Population: 16025 - Area (km2): 274.0
Western Sahara - Capital: Laâyoune / El Aaiún - Population: 273008 - Area (km2): 266000.0
Yemen - Capital: Sanaa - Population: 23495361 - Area (km2): 527970.0
Zambia - Capital: Lusaka - Population: 13460305 - Area (km2): 752614.0
Zimbabwe - Capital: Harare - Population: 11651858 - Area (km2): 390580.0
Åland - Capital: Mariehamn - Population: 26711 - Area (km2): 1580.0
